claim_id,video_id,channel_id,claimant_id,claim_date,video_upload_date,claim_type,status,resolution_days,action_taken,region,video_views,video_duration_seconds,content_category,estimated_revenue_impact,counter_notice_filed,is_suspicious,days_since_upload,abuse_score,manual_review_required,reviewer_id,review_accuracy
CLAIM_00000043,VID_00022877,CH_00000040,CLMT_00003045,2024-02-05,2023-08-19,Audio,Active,,Track,APAC,1389,118,Education,0.0,False,False,170,2,False,REV_167,True
CLAIM_00000044,VID_00013849,CH_00001537,CLMT_00001173,2024-05-28,2024-04-22,Audiovisual,Disputed,,Track,US,66769,987,Sports,0.0,False,False,36,29,False,REV_036,True
CLAIM_00000045,VID_00011150,CH_00018221,CLMT_00004083,2023-02-21,2022-10-15,Audio,Resolved,31.0,Monetize,APAC,397606,281,Music,112.16,False,False,129,23,False,REV_026,True
CLAIM_00000046,VID_00009106,CH_00016778,CLMT_00002549,2024-05-30,2023-09-06,Audiovisual,Resolved,37.0,Monetize,US,61144,1086,Education,3729.22,False,False,267,25,False,REV_152,True
CLAIM_00000047,VID_00005095,CH_00004586,CLMT_00000454,2024-06-17,2023-07-25,Audio,Active,,Monetize,EU,296,52,Entertainment,4272.0,False,False,328,5,False,REV_173,True
CLAIM_00000048,VID_00007056,CH_00006332,CLMT_00002149,2023-10-26,2022-11-05,Audiovisual,Resolved,22.0,Monetize,US,3318,61,Entertainment,4648.9,False,False,355,23,False,REV_151,False
CLAIM_00000049,VID_00025019,CH_00017396,CLMT_00002915,2022-12-20,2022-01-27,Audiovisual,Resolved,49.0,Monetize,APAC,801,707,Music,1956.37,False,False,327,27,False,REV_183,True
CLAIM_00000050,VID_00011030,CH_00009928,CLMT_00003538,2023-06-04,2023-03-26,Audio,Disputed,,Monetize,US,1122,1444,Technology,1116.68,False,False,70,25,False,REV_023,True
CLAIM_00000051,VID_00003350,CH_00012304,CLMT_00002060,2023-01-01,2022-02-02,Thumbnail,Active,,Monetize,EU,1020,232,Technology,1438.33,True,False,333,19,True,REV_050,True
CLAIM_00000052,VID_00003040,CH_00018775,CLMT_00002630,2023-06-03,2022-09-29,Audiovisual,Resolved,46.0,Monetize,EU,47169,154,Sports,4908.48,False,False,247,12,False,REV_100,True
CLAIM_00000053,VID_00012450,CH_00001679,CLMT_00002293,2024-02-22,2023-08-27,Audiovisual,Active,,Monetize,EU,281,282,Entertainment,1086.62,True,False,179,14,True,REV_156,False
CLAIM_00000054,VID_00003170,CH_00018373,CLMT_00001729,2022-12-25,2022-01-25,Audiovisual,Disputed,,Track,EU,503,81,Gaming,0.0,False,False,334,13,False,REV_145,True
CLAIM_00000055,VID_00011764,CH_00013268,CLMT_00000551,2022-11-23,2022-11-08,Audiovisual,Resolved,40.0,Block,US,4762,72,Education,0.0,False,False,15,3,False,REV_158,True
CLAIM_00000056,VID_00027771,CH_00015666,CLMT_00001457,2024-05-05,2023-10-07,Audiovisual,Disputed,,Track,LATAM,334856,1422,Sports,0.0,False,False,211,12,False,REV_170,True
CLAIM_00000057,VID_00011271,CH_00004190,CLMT_00004711,2023-02-01,2022-09-11,Audio,Resolved,76.0,Block,APAC,116715,218,News,0.0,True,False,143,18,True,REV_099,False
CLAIM_00000058,VID_00019783,CH_00006444,CLMT_00000461,2022-12-01,2022-10-22,Audio,Active,,Block,US,11128,834,Music,0.0,False,True,40,80,True,REV_035,True
CLAIM_00000059,VID_00008668,CH_00007146,CLMT_00001949,2024-01-30,2024-01-12,Audio,Resolved,38.0,Monetize,LATAM,349,182,Music,3983.81,False,True,18,83,True,REV_046,True
CLAIM_00000060,VID_00026448,CH_00002411,CLMT_00004327,2023-08-29,2022-12-01,Audio,Active,,Monetize,APAC,8673,325,Lifestyle,1339.67,True,True,271,64,True,REV_091,True
CLAIM_00000061,VID_00001424,CH_00002011,CLMT_00001446,2023-10-23,2023-01-16,Visual,Active,,Mute,US,39319,175,Entertainment,0.0,False,False,280,8,False,REV_198,True
CLAIM_00000062,VID_00023912,CH_00008641,CLMT_00003460,2024-07-13,2023-12-22,Audio,Active,,Monetize,US,85166,565,Education,3120.77,False,False,204,12,False,REV_098,True
CLAIM_00000063,VID_00015055,CH_00008599,CLMT_00002615,2023-03-09,2022-10-20,Audiovisual,Disputed,,Monetize,US,96040,423,Music,2079.99,False,False,140,14,False,REV_072,True
CLAIM_00000064,VID_00017572,CH_00017342,CLMT_00000813,2023-07-02,2023-03-24,Visual,Active,,Monetize,US,114256,606,Entertainment,4362.12,False,False,100,35,False,REV_132,True
CLAIM_00000065,VID_00004091,CH_00004092,CLMT_00001255,2023-03-27,2023-03-24,Audio,Disputed,,Track,US,27761,164,Entertainment,0.0,False,False,3,30,False,REV_183,True
CLAIM_00000066,VID_00012404,CH_00016181,CLMT_00004808,2024-01-23,2023-09-02,Audiovisual,Active,,Monetize,APAC,10432,57,Sports,4327.73,False,False,143,38,False,REV_111,True
CLAIM_00000067,VID_00002583,CH_00015277,CLMT_00002092,2023-09-21,2022-12-04,Audio,Expired,82.0,Monetize,EU,16132,393,Sports,118.47,False,False,291,21,False,REV_026,True
CLAIM_00000068,VID_00018090,CH_00008029,CLMT_00003694,2022-11-08,2022-04-01,Audiovisual,Expired,89.0,Block,US,139392,137,Sports,0.0,False,False,221,37,False,REV_200,True
CLAIM_00000069,VID_00009607,CH_00013524,CLMT_00001520,2023-03-18,2022-07-24,Audio,Active,,Mute,MEA,16760,688,News,0.0,False,False,237,31,False,REV_059,False
CLAIM_00000070,VID_00027178,CH_00011889,CLMT_00004694,2023-07-27,2023-05-14,Thumbnail,Expired,44.0,Monetize,US,481,477,Music,3732.66,False,False,74,33,False,REV_073,True
CLAIM_00000071,VID_00020600,CH_00010388,CLMT_00004770,2024-05-31,2023-06-24,Audiovisual,Disputed,,Monetize,APAC,22701,740,Gaming,457.97,False,False,342,26,False,REV_022,False
CLAIM_00000072,VID_00020268,CH_00013730,CLMT_00001077,2024-04-03,2023-06-07,Audio,Active,,Mute,EU,177,164,Other,0.0,False,False,301,19,False,REV_092,True
CLAIM_00000073,VID_00029015,CH_00002301,CLMT_00003321,2024-02-07,2023-05-26,Audio,Retracted,83.0,Monetize,EU,3219,300,Music,3266.13,False,False,257,15,False,REV_161,True
CLAIM_00000074,VID_00028237,CH_00019855,CLMT_00001836,2022-11-05,2021-12-29,Audiovisual,Active,,Monetize,EU,181,155,Music,4885.7,False,False,311,30,False,REV_048,True
CLAIM_00000075,VID_00011851,CH_00004539,CLMT_00001599,2023-03-05,2022-10-13,Audiovisual,Active,,Monetize,EU,50950,90,Education,2781.98,False,False,143,33,False,REV_135,True
CLAIM_00000076,VID_00018919,CH_00004144,CLMT_00003683,2022-10-04,2022-07-09,Audiovisual,Resolved,31.0,Block,MEA,9867,1335,Sports,0.0,False,False,87,17,False,REV_049,True
CLAIM_00000077,VID_00006301,CH_00002354,CLMT_00000267,2024-03-08,2023-12-28,Audiovisual,Active,,Monetize,APAC,30222,321,Entertainment,3493.41,False,False,71,8,False,REV_109,True
CLAIM_00000078,VID_00023088,CH_00017378,CLMT_00000275,2023-08-20,2023-08-19,Audio,Active,,Block,EU,13779,595,Entertainment,0.0,False,False,1,23,False,REV_139,True
CLAIM_00000079,VID_00002280,CH_00017923,CLMT_00004908,2024-03-26,2024-02-26,Visual,Expired,20.0,Block,LATAM,1249,174,News,0.0,False,False,29,10,False,REV_174,True
CLAIM_00000080,VID_00001502,CH_00004464,CLMT_00002858,2024-07-03,2024-04-27,Audio,Expired,79.0,Block,LATAM,12102,123,Entertainment,0.0,False,False,67,36,False,REV_024,True
CLAIM_00000081,VID_00021669,CH_00004578,CLMT_00000994,2024-08-24,2024-06-14,Audiovisual,Disputed,,Block,APAC,4681,165,News,0.0,False,False,71,15,False,REV_134,True
CLAIM_00000082,VID_00007468,CH_00000688,CLMT_00000569,2023-02-13,2022-08-09,Audiovisual,Resolved,88.0,Mute,EU,5264,486,Gaming,0.0,False,False,188,23,False,REV_014,True
CLAIM_00000083,VID_00025332,CH_00013457,CLMT_00001789,2023-12-28,2023-06-24,Audio,Retracted,33.0,Block,US,8689,121,Education,0.0,False,False,187,2,False,REV_001,True
CLAIM_00000084,VID_00009483,CH_00006991,CLMT_00004970,2024-06-08,2023-08-07,Audio,Active,,Monetize,LATAM,2309,330,Music,2472.43,False,False,306,26,False,REV_058,True
CLAIM_00000085,VID_00002615,CH_00002675,CLMT_00000681,2023-05-13,2023-03-24,Audio,Retracted,10.0,Monetize,LATAM,1495,159,Gaming,1052.95,False,False,50,14,False,REV_014,True
CLAIM_00000086,VID_00028028,CH_00017245,CLMT_00001512,2023-07-02,2022-08-27,Audio,Active,,Track,MEA,780,994,Gaming,0.0,False,False,309,20,False,REV_002,True
CLAIM_00000087,VID_00007629,CH_00013030,CLMT_00001193,2023-11-30,2023-06-25,Audiovisual,Disputed,,Block,US,9081,184,Lifestyle,0.0,False,False,158,18,False,REV_057,True
CLAIM_00000088,VID_00028393,CH_00009419,CLMT_00001279,2023-08-19,2023-01-15,Audiovisual,Resolved,72.0,Block,MEA,836,60,Film,0.0,False,False,216,13,False,REV_128,True
CLAIM_00000089,VID_00003310,CH_00003984,CLMT_00003606,2024-08-20,2024-06-06,Audiovisual,Expired,60.0,Mute,MEA,10971,1063,Entertainment,0.0,False,False,75,24,False,REV_124,True
CLAIM_00000090,VID_00012456,CH_00015752,CLMT_00003549,2024-08-08,2023-12-22,Visual,Disputed,,Monetize,EU,17402,61,Entertainment,2150.77,False,False,230,25,False,REV_122,True
CLAIM_00000091,VID_00009109,CH_00012597,CLMT_00000810,2023-12-22,2023-02-01,Audio,Disputed,,Monetize,US,597343,194,Music,4520.37,False,False,324,8,False,REV_145,True
CLAIM_00000092,VID_00014858,CH_00002069,CLMT_00002877,2023-08-17,2022-10-27,Audiovisual,Resolved,34.0,Mute,APAC,20018,20,Music,0.0,True,False,294,27,True,REV_129,True
CLAIM_00000093,VID_00020831,CH_00007319,CLMT_00004531,2022-12-24,2022-08-11,Audiovisual,Disputed,,Monetize,APAC,64,670,Sports,1854.26,False,False,135,0,False,REV_042,True
CLAIM_00000094,VID_00027333,CH_00000953,CLMT_00002085,2023-03-09,2022-10-06,Audiovisual,Disputed,,Monetize,EU,10527,317,Other,4385.83,True,False,154,38,True,REV_066,True
CLAIM_00000095,VID_00011955,CH_00005097,CLMT_00001240,2023-04-01,2022-10-29,Audiovisual,Active,,Block,US,56074,137,Film,0.0,False,False,154,7,False,REV_053,True
CLAIM_00000096,VID_00005330,CH_00006213,CLMT_00002844,2023-01-02,2022-08-07,Visual,Resolved,5.0,Block,US,1029,365,Gaming,0.0,False,False,148,5,False,REV_129,False
CLAIM_00000097,VID_00012131,CH_00013549,CLMT_00000692,2023-11-21,2023-05-12,Audiovisual,Active,,Block,EU,27181,511,Music,0.0,True,False,193,37,True,REV_093,True
CLAIM_00000098,VID_00011642,CH_00008579,CLMT_00000714,2023-09-26,2023-01-10,Visual,Disputed,,Mute,US,10180,190,Gaming,0.0,False,False,259,37,False,REV_073,True
CLAIM_00000099,VID_00006866,CH_00003814,CLMT_00004435,2023-04-21,2022-10-17,Audio,Active,,Monetize,US,89061,87,Entertainment,3169.04,True,False,186,11,True,REV_153,False
CLAIM_00000100,VID_00021961,CH_00014299,CLMT_00003883,2023-05-29,2023-04-17,Audio,Expired,38.0,Monetize,US,13612,699,Entertainment,1186.87,False,False,42,31,False,REV_157,True
CLAIM_00000101,VID_00008749,CH_00019909,CLMT_00002425,2023-11-27,2022-12-31,Audio,Resolved,46.0,Mute,APAC,3405,430,Education,0.0,False,False,331,31,False,REV_168,False
CLAIM_00000102,VID_00022998,CH_00007823,CLMT_00001485,2023-04-26,2022-08-28,Audiovisual,Active,,Monetize,LATAM,4845,330,Education,697.11,False,False,241,26,False,REV_012,True
CLAIM_00000103,VID_00022399,CH_00013880,CLMT_00001290,2022-11-20,2022-06-02,Audio,Retracted,28.0,Block,APAC,4566,215,News,0.0,False,False,171,23,False,REV_080,True
CLAIM_00000104,VID_00021235,CH_00016605,CLMT_00001955,2024-06-30,2024-02-18,Audiovisual,Active,,Monetize,US,2840,62,Music,3502.08,False,False,133,12,False,REV_044,True
CLAIM_00000105,VID_00002340,CH_00006203,CLMT_00000984,2023-09-09,2022-11-19,Audiovisual,Resolved,90.0,Track,US,180,305,Other,0.0,False,False,294,35,False,REV_159,True
CLAIM_00000106,VID_00019961,CH_00010384,CLMT_00004591,2024-02-17,2023-08-20,Audio,Disputed,,Mute,US,9121,337,Entertainment,0.0,False,False,181,26,False,REV_136,True
CLAIM_00000107,VID_00020807,CH_00019972,CLMT_00002690,2024-02-27,2023-05-02,Visual,Active,,Monetize,MEA,48593,371,Gaming,2146.92,False,False,301,37,False,REV_130,True
CLAIM_00000108,VID_00005608,CH_00019368,CLMT_00004156,2023-09-04,2023-02-15,Audiovisual,Resolved,37.0,Monetize,US,24971,72,Lifestyle,3220.51,False,False,201,29,False,REV_161,True
CLAIM_00000109,VID_00017503,CH_00002167,CLMT_00001769,2023-06-21,2022-11-21,Audio,Resolved,8.0,Mute,MEA,2754,53,Entertainment,0.0,False,False,212,15,False,REV_143,True
CLAIM_00000110,VID_00023893,CH_00013561,CLMT_00000718,2023-01-14,2022-06-17,Audio,Expired,75.0,Track,APAC,1676,894,Music,0.0,False,False,211,11,False,REV_005,True
CLAIM_00000111,VID_00008022,CH_00015154,CLMT_00001778,2023-06-09,2022-10-10,Audio,Active,,Monetize,US,589,249,Music,533.73,False,False,242,30,False,REV_081,True
CLAIM_00000112,VID_00005355,CH_00014240,CLMT_00001404,2024-03-16,2023-10-08,Audio,Active,,Monetize,EU,257,125,Entertainment,407.06,True,False,160,34,True,REV_189,False
CLAIM_00000113,VID_00015148,CH_00008976,CLMT_00003954,2024-03-20,2023-11-24,Audiovisual,Resolved,90.0,Monetize,LATAM,15166,220,Music,605.62,True,False,117,8,True,REV_102,True
CLAIM_00000114,VID_00012434,CH_00000490,CLMT_00002873,2024-01-27,2023-10-01,Audiovisual,Resolved,9.0,Track,US,5605,92,Sports,0.0,False,False,118,37,False,REV_015,True
CLAIM_00000115,VID_00008846,CH_00007990,CLMT_00004022,2022-11-07,2022-06-23,Audiovisual,Resolved,30.0,Monetize,APAC,1287,399,Entertainment,4251.76,True,False,137,24,True,REV_119,True
CLAIM_00000116,VID_00020972,CH_00004829,CLMT_00000216,2023-05-04,2023-01-06,Audiovisual,Active,,Block,US,10246,375,Education,0.0,False,False,118,24,False,REV_064,True
CLAIM_00000117,VID_00022550,CH_00007384,CLMT_00001637,2022-11-15,2022-07-17,Audiovisual,Resolved,2.0,Monetize,US,15190,64,Entertainment,2281.69,False,False,121,38,False,REV_197,True
CLAIM_00000118,VID_00018251,CH_00018921,CLMT_00002387,2023-08-22,2022-11-25,Audio,Disputed,,Monetize,EU,298210,19,Entertainment,1518.65,False,False,270,29,False,REV_061,True
CLAIM_00000119,VID_00007197,CH_00002220,CLMT_00000236,2024-09-02,2023-10-25,Audiovisual,Active,,Block,APAC,74,585,Entertainment,0.0,False,False,313,5,False,REV_170,True
CLAIM_00000120,VID_00022434,CH_00018730,CLMT_00003625,2023-05-14,2022-09-28,Audiovisual,Active,,Monetize,APAC,297,309,Film,3647.43,True,False,228,28,True,REV_109,True
CLAIM_00000121,VID_00010627,CH_00007475,CLMT_00000961,2024-07-17,2023-12-23,Audiovisual,Resolved,68.0,Monetize,US,3427707,199,Entertainment,2461.46,False,False,207,12,False,REV_006,True
CLAIM_00000122,VID_00027619,CH_00005888,CLMT_00004387,2023-04-23,2023-04-09,Audiovisual,Active,,Track,US,2506,1181,Music,0.0,False,False,14,14,False,REV_183,True
CLAIM_00000123,VID_00025177,CH_00011249,CLMT_00000766,2023-05-26,2022-07-24,Audio,Resolved,71.0,Monetize,US,5704,325,Music,805.64,False,False,306,23,False,REV_076,True
CLAIM_00000124,VID_00025428,CH_00004585,CLMT_00002194,2024-04-25,2023-08-10,Audio,Active,,Block,LATAM,8438,538,Entertainment,0.0,False,False,259,23,False,REV_092,False
CLAIM_00000125,VID_00001833,CH_00017487,CLMT_00004382,2024-09-29,2024-08-22,Audio,Active,,Block,EU,482,130,Music,0.0,False,False,38,11,False,REV_057,True
CLAIM_00000126,VID_00007506,CH_00004889,CLMT_00003027,2024-05-15,2024-02-25,Visual,Resolved,8.0,Block,EU,586,54,Education,0.0,True,False,80,3,True,REV_081,True
CLAIM_00000127,VID_00026929,CH_00013184,CLMT_00002528,2023-02-06,2022-03-24,Audiovisual,Active,,Monetize,LATAM,460,355,Music,2576.51,False,False,319,28,False,REV_160,True
CLAIM_00000128,VID_00001052,CH_00014884,CLMT_00001875,2023-02-07,2022-06-15,Audiovisual,Disputed,,Monetize,LATAM,51,85,Sports,805.3,False,False,237,34,False,REV_091,True
CLAIM_00000129,VID_00026380,CH_00003333,CLMT_00003293,2023-01-04,2022-04-28,Audio,Retracted,9.0,Block,US,39564,26,Lifestyle,0.0,False,False,251,6,False,REV_013,True
CLAIM_00000130,VID_00010337,CH_00005729,CLMT_00001190,2022-10-15,2022-04-26,Audiovisual,Resolved,88.0,Track,MEA,192430,76,Other,0.0,False,False,172,32,False,REV_157,True
CLAIM_00000131,VID_00013146,CH_00012470,CLMT_00003602,2023-07-28,2022-08-26,Visual,Resolved,17.0,Track,EU,544,429,Lifestyle,0.0,False,False,336,21,False,REV_076,True
CLAIM_00000132,VID_00008774,CH_00019743,CLMT_00002185,2024-05-29,2024-03-12,Audio,Active,,Block,US,125535,157,Music,0.0,True,False,78,38,True,REV_146,True
CLAIM_00000133,VID_00002169,CH_00007878,CLMT_00004265,2023-08-15,2023-07-02,Audio,Resolved,49.0,Monetize,EU,10455,62,Sports,1121.55,False,False,44,39,False,REV_040,False
CLAIM_00000134,VID_00006914,CH_00015110,CLMT_00000870,2022-10-13,2022-02-20,Audio,Resolved,17.0,Monetize,EU,145769,117,Gaming,687.13,False,False,235,39,False,REV_192,False
CLAIM_00000135,VID_00029922,CH_00019110,CLMT_00004598,2023-05-30,2022-11-26,Audiovisual,Active,,Track,LATAM,8949,124,Gaming,0.0,False,False,185,27,False,REV_130,True
CLAIM_00000136,VID_00018586,CH_00008521,CLMT_00003806,2023-02-08,2022-12-03,Audio,Active,,Block,APAC,35849,913,Gaming,0.0,False,False,67,23,False,REV_034,True
CLAIM_00000137,VID_00028717,CH_00019826,CLMT_00001553,2024-07-23,2023-12-14,Audiovisual,Active,,Monetize,US,10657,481,News,2606.51,False,False,222,4,False,REV_039,True
CLAIM_00000138,VID_00023525,CH_00018602,CLMT_00000951,2023-07-14,2022-12-06,Audiovisual,Active,,Mute,EU,629,361,Music,0.0,False,False,220,21,False,REV_037,True
CLAIM_00000139,VID_00010312,CH_00010515,CLMT_00003923,2024-04-12,2023-05-14,Visual,Resolved,83.0,Track,US,7001,1888,Music,0.0,False,False,334,9,False,REV_138,True
CLAIM_00000140,VID_00006968,CH_00005421,CLMT_00004535,2024-08-18,2024-01-15,Thumbnail,Retracted,19.0,Block,LATAM,10820,63,Gaming,0.0,True,False,216,33,True,REV_034,True
CLAIM_00000141,VID_00021478,CH_00006112,CLMT_00002575,2024-06-30,2023-09-21,Thumbnail,Disputed,,Monetize,US,136999,163,Entertainment,3782.27,False,False,283,25,False,REV_111,True
CLAIM_00000142,VID_00016359,CH_00010258,CLMT_00001105,2024-08-22,2024-02-21,Audio,Resolved,24.0,Monetize,US,11398,183,Technology,3999.98,False,False,183,14,False,REV_086,True
